,PtxID,Group,Trial,Slope,Intercept,MeanSqErr,MeanAbsErr,Phase
182,CL78462911bI451,NoReward,20,0.9688453227903729,8.642582303628066,2125.506094907285,33.30447902869757,Baseline
183,CL78462911bI451,NoReward,21,0.9474096675924666,11.693491084994042,1541.6089297392266,28.330830939226523,Adaptation
184,CL78462911bI451,NoReward,22,1.0225402342375076,-7.2780884408655915,1314.3788371005526,27.16690607734807,Adaptation
185,CL78462911bI451,NoReward,23,0.8197561694293343,-6.242955284165983,1477.7734857723758,28.487332596685082,Adaptation
186,CL78462911bI451,NoReward,24,0.8927774151169205,7.0085057516222395,1461.4549955812154,26.52192817679558,Adaptation
187,CL78462911bI451,NoReward,25,0.8764138102844469,-2.849594269298666,920.8469176872928,25.60697790055249,Adaptation
188,CL78462911bI451,NoReward,26,0.9228130497693432,19.251142321128413,1969.9006710132744,30.888152654867255,Adaptation
189,CL78462911bI451,NoReward,27,0.8736915016393122,4.850096509764358,1058.0749096000002,21.830123756906076,Adaptation
190,CL78462911bI451,NoReward,28,0.8771533639810362,-0.1505754703629334,1166.830419724862,23.74879226519337,Adaptation
191,CL78462911bI451,NoReward,29,0.8185256533653744,2.1477956155334947,1759.577712038674,28.75225524861879,Adaptation
192,CL78462911bI451,NoReward,30,0.9226116290511088,4.456142918512006,1245.957000478453,24.415019889502762,Adaptation
193,CL78462911bI451,NoReward,31,0.7521812459355333,-5.8890502979956425,1509.5283764679914,29.576766004415013,Adaptation
194,CL78462911bI451,NoReward,32,0.8763739678749358,-1.66164419400469,1183.5896403896247,21.45846688741722,Adaptation
195,CL78462911bI451,NoReward,33,0.8112616243325566,-7.669256971510889,767.2447977370166,21.66681767955801,Adaptation
196,CL78462911bI451,NoReward,34,0.8016417080403493,-2.8368978643403273,1846.528396966851,31.78250497237569,Adaptation
197,CL78462911bI451,NoReward,35,0.8675198142358287,-0.699569612443468,1190.8133618519337,25.09441104972376,Adaptation
198,CL78462911bI451,NoReward,36,0.669688461117543,6.0717890499885465,2522.85273299337,36.51967403314917,Adaptation
199,CL78462911bI451,NoReward,37,0.9104610011019818,6.143107887289821,1376.358674477348,25.76849281767956,Adaptation
200,CL78462911bI451,NoReward,38,0.9894638690820857,-3.9881434392777795,766.6891813790056,21.414903867403318,Adaptation
201,CL78462911bI451,NoReward,39,0.8304172380100219,23.05443042064339,2903.9010024176796,37.27512265193371,Adaptation
202,CL78462911bI451,NoReward,40,0.7661986748835478,-0.19340405856680398,1986.9026167966852,32.74856022099448,Adaptation
203,CL78462911bI451,NoReward,41,0.8826616962706908,1.3808142776180288,1210.6909056048564,24.871028697571745,Washout
204,CL78462911bI451,NoReward,42,0.8685970739390305,-5.732073956724895,1267.9745658928175,23.256743646408843,Washout
205,CL78462911bI451,NoReward,43,0.917307057269418,-1.7814572229754075,549.3429571026489,17.671612582781457,Washout
206,CL78462911bI451,NoReward,44,0.8997863584051942,-4.797531305764044,344.55559836795584,14.092814364640883,Washout
207,CL78462911bI451,NoReward,45,0.9195049982563153,1.164182735208779,554.5373857060773,18.676198895027625,Washout
208,CL78462911bI451,NoReward,46,1.031995098901455,-5.80364137153974,403.70977500662985,15.940451933701656,Washout
209,CL78462911bI451,NoReward,47,0.9912043067630766,-3.2064489873965316,193.6791334503311,11.557141280353202,Washout
210,CL78462911bI451,NoReward,48,1.1543708231787473,-3.7342716730417918,216.29346261104976,12.064551381215471,Washout
211,CL78462911bI451,NoReward,49,0.8725196254964974,-11.56512347270971,828.5553907734806,19.179774585635354,Washout
212,CL78462911bI451,NoReward,50,0.9249859264838879,-6.270689547969074,296.64633977262696,14.037620309050771,Washout
213,CL78462911bI451,NoReward,51,0.8738003455698307,-4.983993974877268,409.6067833491713,15.653521546961327,Washout
214,CL78462911bI451,NoReward,52,1.0202133715554462,-10.00302370898792,466.13356831933703,18.027833149171272,Washout
215,CL78462911bI451,NoReward,53,,,,,Washout
216,XY13546991Od507,NoReward,0,0.9439005516838732,14.520058494480455,1787.0765381931567,29.2370408388521,Baseline
217,XY13546991Od507,NoReward,1,1.0749736787255806,-2.9390124767414436,630.670486158011,18.372955801104975,Baseline
218,XY13546991Od507,NoReward,2,0.899492836457178,-11.192508536186828,1217.0583929856355,25.650453038674033,Baseline
219,XY13546991Od507,NoReward,3,0.9035766609225268,-8.192821265602763,1180.9109652486188,21.460209944751384,Baseline
220,XY13546991Od507,NoReward,4,1.102641018000164,-17.042630325086346,531.6347347668509,18.798773480662984,Baseline
221,XY13546991Od507,NoReward,5,0.9082253392743476,10.729346544058348,804.3987971381216,21.684711602209944,Baseline
222,XY13546991Od507,NoReward,6,1.0405453191284384,-3.457849128953411,555.3057780651934,18.769130386740333,Baseline
223,XY13546991Od507,NoReward,7,1.00927192907921,7.681510893931656,695.0512175209714,20.08601986754967,Baseline
224,XY13546991Od507,NoReward,8,0.9366196844882748,15.20278284890544,1246.6453022994476,25.601530386740333,Baseline
225,XY13546991Od507,NoReward,9,1.149518409493914,5.4091368977632275,549.755134,18.29235359116022,Baseline
226,XY13546991Od507,NoReward,10,0.8949489041269533,4.7604711712105425,622.1916035314918,17.742738121546964,Baseline
227,XY13546991Od507,NoReward,11,1.0557329329114558,10.691205234150928,456.7734936740331,15.832719337016576,Baseline
228,XY13546991Od507,NoReward,12,0.7205770821288366,36.00010994445826,3257.4915663785873,42.78102538631347,Baseline
229,XY13546991Od507,NoReward,13,0.9077508889674398,41.046165155199695,3053.8844531977898,44.14417900552487,Baseline
230,XY13546991Od507,NoReward,14,0.8338408452510624,39.535545562582016,3249.9859705392273,43.08019005524862,Baseline
231,XY13546991Od507,NoReward,15,0.8845338266156064,44.025299418925854,3380.266038766851,46.41822099447514,Baseline
232,XY13546991Od507,NoReward,16,0.9274940334259677,31.716727107124257,2500.3091536596685,40.097467403314916,Baseline
233,XY13546991Od507,NoReward,17,0.7619487490124478,39.83708002948556,3387.273090351381,44.679016574585646,Baseline
234,XY13546991Od507,NoReward,18,0.7626418436797515,37.90456091512717,3441.3955462099448,46.462660773480664,Baseline
235,XY13546991Od507,NoReward,19,1.0397830282748692,18.065934591806297,1275.6615055027623,27.148839779005527,Baseline
236,XY13546991Od507,NoReward,20,0.8424890299509445,14.801944538525605,2065.4683418685086,36.35485414364641,Baseline
237,XY13546991Od507,NoReward,21,0.7432316395167896,9.512266177201292,1930.4111895513813,34.740875138121545,Adaptation
238,XY13546991Od507,NoReward,22,0.9620849824292229,31.0222755265656,1874.0679451942606,33.45990949227374,Adaptation
239,XY13546991Od507,NoReward,23,0.7535397084416693,20.585163254505105,2162.361746441989,34.021244198895026,Adaptation
240,XY13546991Od507,NoReward,24,0.8936006305268758,25.597094570054576,1332.6594900508287,27.514545856353596,Adaptation
241,XY13546991Od507,NoReward,25,0.8651588717474241,35.425622826586306,2607.2693829525388,40.38990838852097,Adaptation
242,XY13546991Od507,NoReward,26,0.8747159520730141,41.16058657506739,3463.1957201933706,46.79309060773481,Adaptation
243,XY13546991Od507,NoReward,27,0.8437740179652541,39.32812242479973,3808.0445210662983,45.19285414364641,Adaptation
244,XY13546991Od507,NoReward,28,0.9700447594273266,27.491354948224995,2282.261692139227,35.91742983425415,Adaptation
245,XY13546991Od507,NoReward,29,1.0515226596397096,27.550432849772037,1626.3797779337751,31.08489183222958,Adaptation
246,XY13546991Od507,NoReward,30,0.9981294018675461,38.17901283059619,2444.062928962431,38.89630165745857,Adaptation
247,XY13546991Od507,NoReward,31,1.1443716709096599,27.35774400405427,2039.1599304729282,35.822229834254145,Adaptation
248,XY13546991Od507,NoReward,32,0.5577007561236951,34.752345053072915,4437.593512605526,51.6886541436464,Adaptation
249,XY13546991Od507,NoReward,33,0.8091959156020171,30.699389042458296,2296.309625913907,37.78797130242826,Adaptation
250,XY13546991Od507,NoReward,34,0.739743558327371,40.636197465589824,3602.337635186535,47.23039845474614,Adaptation
251,XY13546991Od507,NoReward,35,1.064350886163192,31.956582238446796,2719.3538362221,41.891333701657466,Adaptation
252,XY13546991Od507,NoReward,36,0.9409942776174332,32.381162370718855,2698.918018658564,37.563352486187846,Adaptation
253,XY13546991Od507,NoReward,37,0.8315461291121289,34.18427143020936,2339.621204154696,37.12041546961326,Adaptation
254,XY13546991Od507,NoReward,38,0.9594243778798053,36.83914429141301,2525.571416812155,39.914202209944754,Adaptation
255,XY13546991Od507,NoReward,39,0.8925956929478052,43.13290317865736,3374.0199489756906,45.80313259668508,Adaptation
256,XY13546991Od507,NoReward,40,1.0293983977368009,35.46217058515439,2139.294655879691,37.443219646799115,Adaptation
257,XY13546991Od507,NoReward,41,0.7446283576550679,30.940639529757792,2643.29498101768,34.23763867403315,Washout
258,XY13546991Od507,NoReward,42,1.0752226912052778,-6.105803680001191,882.2942360906077,24.154826519337014,Washout
259,XY13546991Od507,NoReward,43,0.8372593019265828,9.513032415486661,710.886821720442,19.855344751381217,Washout
260,XY13546991Od507,NoReward,44,0.8841039908171715,14.032659587785746,866.3941114110498,23.878993370165748,Washout
261,XY13546991Od507,NoReward,45,0.8933609516056744,-3.3784639371886467,571.809908840884,17.966617679558013,Washout
262,XY13546991Od507,NoReward,46,0.8324497120292426,-2.395536033050108,554.6541157116022,18.190308287292815,Washout
263,XY13546991Od507,NoReward,47,0.8954621184759808,5.624633617314921,366.2544032306843,14.867541942604857,Washout
264,XY13546991Od507,NoReward,48,0.9528392192743484,-4.804476312335047,434.67203220883977,17.182681767955803,Washout
265,XY13546991Od507,NoReward,49,0.9130986093169156,-5.037076641505082,513.376565040884,17.506251933701655,Washout
266,XY13546991Od507,NoReward,50,0.8526052428969758,-2.3034553266438205,518.4461904569537,18.295448123620307,Washout
267,XY13546991Od507,NoReward,51,0.8473762108717948,-2.7404793035142667,362.9723386883978,14.689771270718232,Washout
268,XY13546991Od507,NoReward,52,0.8501550140715464,6.21980992684395,520.0989089856354,18.954937016574586,Washout
269,XY13546991Od507,NoReward,53,,,,,Washout
270,iA94696354Ww734,NoReward,0,0.8842553808533242,-1.295693772746045,685.4202583863134,20.373997792494485,Baseline
271,iA94696354Ww734,NoReward,1,0.819235802606883,0.11278672852346716,669.614237843094,20.379871823204418,Baseline
